,,,,,,Energizer,Maxell,IEC
AG13,LR44,G13,LR44,A76,GP76A,357,SR44W,LR1154
AG12,LR43,G12,LR43,186,GP86A,386,SR43W,LR1142
AG11,LR721,G11,LR58,162,GP62A,362,SR721W,LR721
AG10,LR1130?,G10,LR54,189,GP89A,389,SR1130W,LR1131
AG9,LR936,G9,LR45,194,GP94A,394,SR936W,LR936
AG8,LR1120?,G8,LR55,191,GP91A,391,SR1120W,LR1121
AG7,LR926,G7,LR57,192,GP95A,395,SR927W,LR926
AG6,LR921,G6,LR69,171,GP71A,371,SR920W,LR921
AG5,LR754,G5,LR48,193,GP93A,393,SR754W,LR754
AG4,LR626,G4,LR86,177,GP77A,377,SR926W,LR626
AG3,LR41,G3,LR41,192,GP92A,392,SR41W,LR736
AG2,LR726,G2,LR59,196,GP96A,396,SR726W,LR726
AG1,LR621,G1,LR60,164,GP64A,364,SR621W,LR621
AG0,LR521,G0,,,,379,SR521W,LR521
